"transaction_time","transaction_amount"
"2021-01-16 00:05:54","25.05"
"2021-01-07 20:53:04","124"
"2021-01-18 22:55:37","66.58"
"2021-01-21 00:36:57","9.99"
"2021-01-19 06:31:10","22.27"
"2021-01-10 01:24:04","576.76"
"2021-01-04 00:07:27","49.91"
"2021-01-25 20:36:17","14.11"
"2021-01-08 21:11:16","112.21"
"2021-01-07 00:06:21","331.8"
"2021-01-18 09:30:10","900"
"2021-01-22 20:30:14","130.72"
"2021-01-18 00:06:21","91.53"
"2021-01-01 09:29:56","900"
"2021-01-13 20:50:02","33.04"
"2021-01-05 00:06:15","142.3"
"2021-01-09 01:02:40","15"
"2021-01-12 05:49:02","28.25"
"2021-01-03 00:03:22","14.69"
"2021-01-05 00:49:45","93.25"
"2021-01-12 20:38:30","500"
"2021-01-31 00:09:01","23.1"
"2021-01-11 10:56:16","75.64"
"2021-01-30 00:04:01","6.75"
"2021-01-04 11:35:53","4.99"
"2021-01-29 05:39:47","33.73"
"2021-01-08 06:37:49","143.12"
"2021-01-07 00:48:07","20"
"2021-01-24 11:01:21","1058.4"
"2021-01-21 04:41:26","500"
"2021-01-05 21:34:58","100"
"2021-01-06 00:48:00","362.91"
"2021-01-13 00:51:59","19.24"
"2021-01-17 00:10:53","32.46"
"2021-01-20 01:04:34","32.76"
"2021-01-30 07:55:26","59.37"
"2021-01-03 11:03:52","36.37"
"2021-01-21 19:33:01","12.99"
"2021-01-30 00:58:25","400"
"2021-01-14 06:14:03","900"
"2021-01-26 00:02:21","900"
"2021-01-01 00:12:28","5000"
"2021-01-26 04:45:44","900"
"2021-01-23 04:31:41","623.72"
"2021-01-25 08:48:28","33.05"
"2021-01-18 01:20:23","48.75"
"2021-01-22 00:41:55","47"
"2021-01-28 00:05:20","35"
"2021-01-29 00:06:33","1450"
"2021-01-16 00:44:31","82.38"
"2021-01-31 13:00:35","19"
"2021-01-11 01:18:30","2130.54"
"2021-01-20 05:44:23","13.02"
"2021-01-27 19:50:22","150"
"2021-01-15 00:04:12","641.37"
"2021-01-19 01:10:40","235.44"
"2021-01-27 00:37:59","216.99"
"2021-01-27 04:53:20","54.35"
"2021-01-19 00:04:03","99.95"
"2021-01-06 20:49:50","57.08"
"2021-01-17 12:39:03","22.75"
"2021-01-05 06:24:32","500"
"2021-01-31 01:56:35","17.33"
"2021-01-11 21:35:49","10.66"
"2021-01-13 06:38:51","9.99"
"2021-01-15 00:53:48","450"
"2021-01-28 00:39:16","27.92"
"2021-01-17 01:21:03","13.61"
"2021-01-02 11:07:27","84.31"
"2021-01-19 19:55:26","15.1"
"2021-01-24 01:27:27","47.9"
"2021-01-12 00:48:20","8413.94"
"2021-01-09 00:02:48","118.49"
"2021-01-15 06:18:10","900"
"2021-01-22 00:05:13","23.04"
"2021-01-03 01:32:21","3"
"2021-01-14 00:04:24","9.99"
"2021-01-22 05:29:08","326.24"
"2021-01-10 11:05:01","43.55"
"2021-01-02 01:14:35","513"
"2021-01-20 00:03:47","14.23"
"2021-01-13 00:03:52","429.11"
"2021-01-28 04:39:11","37.17"
"2021-01-26 00:40:51","500"
"2021-01-04 21:14:08","889.46"
"2021-01-21 23:53:40","43.99"
"2021-01-24 00:06:29","59"
"2021-01-08 00:04:24","60.46"
"2021-01-06 06:49:28","16.41"
"2021-01-14 21:09:48","100"
"2021-01-04 01:45:23","340.8"
"2021-01-20 19:46:38","90"
"2021-01-16 06:35:34","29"
"2021-01-26 19:52:38","704.47"
"2021-01-09 10:44:29","900"
"2021-01-21 00:07:15","59"
"2021-01-29 00:43:11","17.82"
"2021-01-25 00:04:42","119.95"
"2021-01-23 00:35:56","500"
"2021-01-27 00:01:48","50"
"2021-01-28 19:44:55","8874.32"
"2021-01-29 20:37:37","19.35"
"2021-01-06 00:04:15","8.2"
"2021-01-14 00:40:59","2.84"
"2021-01-12 00:06:22","1516.39"
"2021-01-07 06:31:13","500"
"2021-01-10 00:04:58","131.44"
"2021-01-23 00:02:24","103.2"
"2021-01-25 01:21:44","123.84"
"2021-01-11 00:06:39","87.1"
"2021-01-01 02:01:09","518.2"
"2021-01-15 20:55:58","47.72"
"2021-01-02 00:09:43","49"
"2021-01-08 00:49:22","31.61"
